Wavelength,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7
4000,-0.002086,-0.000175,0.000318,0.000192,0.000167,0.000484,-0.000472
3999.5,-0.001886,-0.00016,0.000257,0.000293,0.000379,0.00045,-0.000728
3999,-0.001552,-0.000213,0.000288,0.000341,0.000746,0.000593,-0.001088
3998.5,-0.001312,-0.000329,0.000404,0.000377,0.001096,0.000752,-0.001354
3998,-0.001283,-0.000421,0.000605,0.000429,0.001335,0.000767,-0.001348
3997.5,-0.001456,-0.000427,0.000875,0.000471,0.001451,0.000634,-0.001054
3997,-0.001737,-0.000372,0.001176,0.000485,0.0015,0.000518,-0.000629
3996.5,-0.001993,-0.000337,0.001447,0.000523,0.001555,0.000591,-0.000284
3996,-0.002086,-0.000383,0.001636,0.000651,0.001642,0.000868,-0.000152
3995.5,-0.001931,-0.000503,0.001717,0.000871,0.001715,0.001212,-0.000239
3995,-0.001563,-0.000625,0.001711,0.001106,0.001735,0.001475,-0.000441
3994.5,-0.001147,-0.000643,0.001677,0.001264,0.001748,0.001619,-0.000601
3994,-0.000888,-0.00048,0.001702,0.001312,0.001837,0.0017,-0.000581
3993.5,-0.000897,-0.000176,0.001838,0.001293,0.001998,0.001761,-0.000362
3993,-0.001125,0.000078,0.002017,0.001264,0.002092,0.001751,-0.000094
3992.5,-0.001436,0.000058,0.002035,0.001206,0.001946,0.001569,-0.000013
3992,-0.00174,-0.000303,0.001721,0.001018,0.001529,0.00118,-0.000242
3991.5,-0.002031,-0.000812,0.001138,0.000652,0.001021,0.000705,-0.000679
3991,-0.002285,-0.001148,0.000587,0.000253,0.000699,0.000372,-0.001082
3990.5,-0.002409,-0.00113,0.000346,0.00009,0.000707,0.000365,-0.001278
3990,-0.002317,-0.000858,0.000421,0.000295,0.000916,0.000673,-0.001283
3989.5,-0.002068,-0.000594,0.000598,0.000684,0.001029,0.001071,-0.001236
3989,-0.001857,-0.000529,0.000698,0.000885,0.000856,0.00125,-0.001251
3988.5,-0.001846,-0.000658,0.00073,0.000687,0.000497,0.001041,-0.001328
3988,-0.002019,-0.000854,0.000817,0.000244,0.00025,0.000554,-0.001372
